Customer_ID,Customer_Name,Order_ID,Order_Date,Ship_Date,Ship_Mode,Segment,Country,City,State,Region,Product ID,Category,Sub Category,Product Name,Sales,Quantity,Discount,Profit,Profit margin,Discount amt,salesper unit,Profit margin
BH-11710,Brosina Hoffman,CA-2014-115812,09-Jun-14,14-Jun-14,Standard Class,Consumer,United States,Los Angeles,California,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,42654.6,341.2368,189.576,5
BH-11710,Brosina Hoffman,CA-2014-115812,09-Jun-14,14-Jun-14,Standard Class,Consumer,United States,Los Angeles,California,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568,34178.4,182.2848,227.856,7.5
AA-10480,Andrew Allen,CA-2017-114412,30-Apr-14,20-Apr-17,Standard Class,Consumer,United States,Concord,North Carolina,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,2721.6,3.1104,5.184,35
IM-15070,Irene Maddox,CA-2016-161389,05-Dec-16,10-Dec-16,Standard Class,Consumer,United States,Seattle,Washington,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,66296.1,81.5952,135.992,32.5
HP-14815,Harold Pawlan,US-2015-118983,22-Nov-15,26-Nov-15,Standard Class,Home Office,United States,Fort Worth,Texas,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,-15482.25,55.048,13.762,-180
HP-14815,Harold Pawlan,US-2015-118983,22-Nov-15,26-Nov-15,Standard Class,Home Office,United States,Fort Worth,Texas,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,-477,2.0352,0.848,-150
PK-19075,Pete Kriz,CA-2014-105893,11-Nov-14,18-Nov-14,Standard Class,Consumer,United States,Madison,Wisconsin,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1-2""D",665.88,6,0,13.3176,No profit,0,110.98,2
AG-10270,Alejandro Grove,CA-2014-167164,13-May-14,15-May-14,Second Class,Consumer,United States,West Jordan,Utah,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor-Drawer,55.5,2,0,9.99,No profit,0,27.75,18
ZD-21925,Zuschuss Donatelli,CA-2014-143336,27-Aug-14,01-Sep-14,Second Class,Consumer,United States,San Francisco,California,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0,2.4824,No profit,0,4.28,29
ZD-21925,Zuschuss Donatelli,CA-2014-143336,27-Aug-14,01-Sep-14,Second Class,Consumer,United States,San Francisco,California,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,8005.5,42.696,71.16,7.5
ZD-21925,Zuschuss Donatelli,CA-2014-143336,27-Aug-14,01-Sep-14,Second Class,Consumer,United States,San Francisco,California,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,3692,4.544,5.68,32.5
KB-16585,Ken Black,CA-2016-137330,12-Sep-16,13-Dec-16,Standard Class,Corporate,United States,Fremont,Nebraska,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0,5.0596,No profit,0,2.78,26
KB-16585,Ken Black,CA-2016-137330,12-Sep-16,13-Dec-16,Standard Class,Corporate,United States,Fremont,Nebraska,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884,No profit,0,8.62,26
SF-20065,Sandra Flanagan,US-2017-156909,16-Jul-17,18-Jul-17,Second Class,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,-339.8666667,21.4116,35.686,-1.428571429
EB-13870,Emily Burns,CA-2015-106320,25-Sep-15,30-Sep-15,Standard Class,Consumer,United States,Orem,Utah,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.2649,No profit,0,348.21,23
EH-13945,Eric Hoffmann,CA-2016-121755,16-Jan-16,20-Jan-16,Second Class,Consumer,United States,Los Angeles,California,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,2111.2,2.3296,5.824,36.25
EH-13945,Eric Hoffmann,CA-2016-121755,16-Jan-16,20-Jan-16,Second Class,Consumer,United States,Los Angeles,California,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.7741,No profit,0,30.19,13
TB-21520,Tracy Blumstein,US-2015-150630,17-Sep-15,21-Sep-15,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,-333010.44,1541.715,440.49,-54
TB-21520,Tracy Blumstein,US-2015-150630,17-Sep-15,21-Sep-15,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532,-1007.6,6.7326,4.809,-73.33333333
TB-21520,Tracy Blumstein,US-2015-150630,17-Sep-15,21-Sep-15,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,Howard Miller 13-3-4" Diameter Brushed Chrome Round Wall Clock,124.2,3,0.2,15.525,7762.5,24.84,41.4,12.5
TB-21520,Tracy Blumstein,US-2015-150630,17-Sep-15,21-Sep-15,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,550.8,0.6528,1.632,33.75
TB-21520,Tracy Blumstein,US-2015-150630,17-Sep-15,21-Sep-15,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty-Woodgrain",86.304,6,0.2,9.7092,4854.6,17.2608,14.384,11.25
TB-21520,Tracy Blumstein,US-2015-150630,17-Sep-15,21-Sep-15,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7-8"" x 11"", Executive Red",6.858,6,0.7,-5.715,-816.4285714,4.8006,1.143,-83.33333333
TB-21520,Tracy Blumstein,US-2015-150630,17-Sep-15,21-Sep-15,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546,1773,3.152,7.88,22.5
MA-17560,Matt Abelman,CA-2017-107727,19-Oct-17,23-Oct-17,Second Class,Home Office,United States,Houston,Texas,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468,4973.4,5.8944,9.824,33.75
GH-14485,Gene Hale,CA-2016-117590,12-Aug-16,10-Dec-16,First Class,Corporate,United States,Richardson,Texas,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,61736.85,219.5088,156.792,11.25
GH-14485,Gene Hale,CA-2016-117590,12-Aug-16,10-Dec-16,First Class,Corporate,United States,Richardson,Texas,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,-24660.5,114.552,38.184,-77.5
SN-20710,Steve Nguyen,CA-2015-117415,27-Dec-15,31-Dec-15,Standard Class,Home Office,United States,Houston,Texas,Central,OFF-EN-10002986,Office Supplies,Envelopes,#10-4 1-8" x 9 1-2" Premium Diagonal Seam Envelopes,113.328,9,0.2,35.415,17707.5,22.6656,12.592,31.25
SN-20710,Steve Nguyen,CA-2015-117415,27-Dec-15,31-Dec-15,Standard Class,Home Office,United States,Houston,Texas,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,-14680.125,170.367744,177.4664,-8.823529412
SN-20710,Steve Nguyen,CA-2015-117415,27-Dec-15,31-Dec-15,Standard Class,Home Office,United States,Houston,Texas,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,-5049,63.6174,70.686,-7.142857143
SN-20710,Steve Nguyen,CA-2015-117415,27-Dec-15,31-Dec-15,Standard Class,Home Office,United States,Houston,Texas,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,20878.2,74.2336,92.792,11.25
LC-16930,Linda Cazamias,CA-2017-120999,09-Oct-17,15-Sep-17,Standard Class,Corporate,United States,Naperville,Illinois,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,8278.2,29.4336,36.792,11.25
RA-19885,Ruben Ausman,CA-2016-101343,17-Jul-16,22-Jul-16,Standard Class,Corporate,United States,Los Angeles,California,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894,No profit,0,38.94,5
ES-14080,Erin Smith,CA-2017-139619,19-Sep-17,23-Sep-17,Standard Class,Corporate,United States,Melbourne,Florida,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,4780.8,19.1232,47.808,10
ON-18715,Odella Nelson,CA-2016-118255,03-Nov-16,13-Mar-16,First Class,Corporate,United States,Eagan,Minnesota,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25-Pack",45.98,2,0,19.7714,No profit,0,22.99,43
ON-18715,Odella Nelson,CA-2016-118255,03-Nov-16,13-Mar-16,First Class,Corporate,United States,Eagan,Minnesota,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.2062,No profit,0,8.73,47
PO-18865,Patrick O'Donnell,CA-2014-146703,20-Oct-14,25-Oct-14,Second Class,Consumer,United States,Westland,Michigan,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3-8w x 5-1-4d x 20-1-2h, Black",211.96,4,0,8.4784,No profit,0,52.99,4
LH-16900,Lena Hernandez,CA-2016-169194,20-Jun-16,25-Jun-16,Standard Class,Consumer,United States,Dover,Delaware,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,0,4.95,No profit,0,15,11
LH-16900,Lena Hernandez,CA-2016-169194,20-Jun-16,25-Jun-16,Standard Class,Consumer,United States,Dover,Delaware,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.104,No profit,0,10.9,28
DP-13000,Darren Powers,CA-2015-115742,18-Apr-15,22-Apr-15,Standard Class,Consumer,United States,New Albany,Indiana,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3-4 x 5-1-8, 10-Pack",38.22,6,0,17.9634,No profit,0,6.37,47
DP-13000,Darren Powers,CA-2015-115742,18-Apr-15,22-Apr-15,Standard Class,Consumer,United States,New Albany,Indiana,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,0,35.3346,No profit,0,12.53,47
DP-13000,Darren Powers,CA-2015-115742,18-Apr-15,22-Apr-15,Standard Class,Consumer,United States,New Albany,Indiana,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0,2.9568,No profit,0,3.08,48
DP-13000,Darren Powers,CA-2015-115742,18-Apr-15,22-Apr-15,Standard Class,Consumer,United States,New Albany,Indiana,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0,17.0981,No profit,0,89.99,19
JM-15265,Janet Molinari,CA-2016-105816,12-Nov-16,17-Dec-16,Standard Class,Corporate,United States,New York City,New York,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0,6.2566,No profit,0,2.18,41
JM-15265,Janet Molinari,CA-2016-105816,12-Nov-16,17-Dec-16,Standard Class,Corporate,United States,New York City,New York,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0,298.6855,No profit,0,205.99,29
TB-21055,Ted Butterfield,CA-2016-111682,17-Jun-16,18-Jun-16,First Class,Consumer,United States,Troy,New York,East,OFF-ST-10000604,Office Supplies,Storage,Home-Office Personal File Carts,208.56,6,0,52.14,No profit,0,34.76,25
TB-21055,Ted Butterfield,CA-2016-111682,17-Jun-16,18-Jun-16,First Class,Consumer,United States,Troy,New York,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0,15.552,No profit,0,6.48,48
TB-21055,Ted Butterfield,CA-2016-111682,17-Jun-16,18-Jun-16,First Class,Consumer,United States,Troy,New York,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098,7098,31.941,63.882,2.222222222
TB-21055,Ted Butterfield,CA-2016-111682,17-Jun-16,18-Jun-16,First Class,Consumer,United States,Troy,New York,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0,6.9888,No profit,0,7.28,48
TB-21055,Ted Butterfield,CA-2016-111682,17-Jun-16,18-Jun-16,First Class,Consumer,United States,Troy,New York,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0,3.3,No profit,0,15,11
TB-21055,Ted Butterfield,CA-2016-111682,17-Jun-16,18-Jun-16,First Class,Consumer,United States,Troy,New York,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362,8181,9.696,12.12,33.75
TB-21055,Ted Butterfield,CA-2016-111682,17-Jun-16,18-Jun-16,First Class,Consumer,United States,Troy,New York,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0,0.84,No profit,0,1.68,50
KM-16720,Kunst Miller,CA-2015-135545,24-Nov-15,30-Nov-15,Standard Class,Consumer,United States,Los Angeles,California,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3-Pack",13.98,2,0,6.1512,No profit,0,6.99,44
KM-16720,Kunst Miller,CA-2015-135545,24-Nov-15,30-Nov-15,Standard Class,Consumer,United States,Los Angeles,California,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7-8"" X 11""",25.824,6,0.2,9.3612,4680.6,5.1648,4.304,36.25
KM-16720,Kunst Miller,CA-2015-135545,24-Nov-15,30-Nov-15,Standard Class,Consumer,United States,Los Angeles,California,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0,68.9631,No profit,0,48.91,47
KM-16720,Kunst Miller,CA-2015-135545,24-Nov-15,30-Nov-15,Standard Class,Consumer,United States,Los Angeles,California,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0,22.3328,No profit,0,19.94,28
PS-18970,Paul Stevenson,US-2015-164175,30-Apr-15,05-May-15,Standard Class,Home Office,United States,Chicago,Illinois,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225,-5074.166667,63.9345,42.623,-7.142857143
BS-11590,Brendan Sweed,CA-2014-106376,12-May-14,10-Dec-14,Standard Class,Corporate,United States,Gilbert,Arizona,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,55651.2,222.6048,139.128,10
BS-11590,Brendan Sweed,CA-2014-106376,12-May-14,10-Dec-14,Standard Class,Corporate,United States,Gilbert,Arizona,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,31494,33.5936,41.992,37.5
KD-16270,Karen Daniels,CA-2016-119823,06-Apr-16,06-Jun-16,First Class,Consumer,United States,Springfield,Virginia,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.6636,No profit,0,37.94,47
HM-14980,Henry MacAllister,CA-2016-106075,18-Sep-16,23-Sep-16,Standard Class,Consumer,United States,New York City,New York,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,865.5,0.9232,4.616,37.5
TB-21520,Tracy Blumstein,CA-2017-114440,14-Sep-17,17-Sep-17,Second Class,Consumer,United States,Jackson,Michigan,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax-Mobile Section, 5 1-2"" x 3 3-16""",19.05,3,0,8.763,No profit,0,6.35,46
JE-15745,Joel Eaton,US-2015-134026,26-Apr-15,02-May-15,Standard Class,Consumer,United States,Memphis,Tennessee,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912,-57195.6,166.3872,103.992,-13.75
JE-15745,Joel Eaton,US-2015-134026,26-Apr-15,02-May-15,Standard Class,Consumer,United States,Memphis,Tennessee,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213,606.5,19.408,48.52,1.25
JE-15745,Joel Eaton,US-2015-134026,26-Apr-15,02-May-15,Standard Class,Consumer,United States,Memphis,Tennessee,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196,-9098,14.5568,72.784,-25
KB-16600,Ken Brennan,US-2017-118038,12-Sep-17,11-Dec-17,First Class,Corporate,United States,Houston,Texas,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344,-241.8,0.9984,0.416,-155
KB-16600,Ken Brennan,US-2017-118038,12-Sep-17,11-Dec-17,First Class,Corporate,United States,Houston,Texas,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248,-970.8,5.8248,3.236,-60
KB-16600,Ken Brennan,US-2017-118038,12-Sep-17,11-Dec-17,First Class,Corporate,United States,Houston,Texas,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15-16d x 11-1-4h",27.24,3,0.2,2.724,1362,5.448,9.08,10
JE-15745,Joel Eaton,US-2014-147606,26-Nov-14,01-Dec-14,Second Class,Consumer,United States,Houston,Texas,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475,-2412.5,11.58,3.86,-75
SC-20770,Stewart Carmichael,CA-2016-127208,06-Dec-16,15-Jun-16,First Class,Corporate,United States,Decatur,Alabama,South,OFF-AP-10002118,Office Supplies,Appliances,1.7 Cubic Foot Compact "Cube" Office Refrigerators,208.16,1,0,56.2032,No profit,0,208.16,27
SC-20770,Stewart Carmichael,CA-2016-127208,06-Dec-16,15-Jun-16,First Class,Corporate,United States,Decatur,Alabama,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0,8.0352,No profit,0,5.58,48
DN-13690,Duane Noonan,CA-2014-139451,10-Dec-14,16-Oct-14,Standard Class,Consumer,United States,San Francisco,California,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0,4.172,No profit,0,2.98,28
DN-13690,Duane Noonan,CA-2014-139451,10-Dec-14,16-Oct-14,Standard Class,Consumer,United States,San Francisco,California,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0,6.2031,No profit,0,21.39,29
JC-16105,Julie Creighton,CA-2015-149734,09-Mar-15,08-Sep-15,Standard Class,Corporate,United States,Durham,North Carolina,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075,31403.75,40.1968,28.712,31.25
CS-12400,Christopher Schild,US-2017-119662,13-Nov-17,16-Nov-17,First Class,Home Office,United States,Chicago,Illinois,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549,-24477.45,46.0752,76.792,-21.25
PO-18865,Patrick O'Donnell,CA-2017-140088,28-May-17,30-May-17,Second Class,Consumer,United States,Columbia,South Carolina,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0,33.2156,No profit,0,150.98,11
PG-18895,Paul Gonzalez,CA-2017-155558,26-Oct-17,02-Nov-17,Standard Class,Consumer,United States,Rochester,Minnesota,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0,6.7966,No profit,0,19.99,34
PG-18895,Paul Gonzalez,CA-2017-155558,26-Oct-17,02-Nov-17,Standard Class,Consumer,United States,Rochester,Minnesota,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2,0,2.9568,No profit,0,3.08,48
GM-14455,Gary Mitchum,CA-2016-159695,04-May-16,10-Apr-16,Second Class,Home Office,United States,Houston,Texas,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572,6928.6,31.6736,22.624,8.75
JS-15685,Jim Sink,CA-2016-109806,17-Sep-16,22-Sep-16,Standard Class,Corporate,United States,Los Angeles,California,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0,6.633,No profit,0,6.7,33
JS-15685,Jim Sink,CA-2016-109806,17-Sep-16,22-Sep-16,Standard Class,Corporate,United States,Los Angeles,California,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2,0.2,8.2782,4139.1,14.7168,36.792,11.25
JS-15685,Jim Sink,CA-2016-109806,17-Sep-16,22-Sep-16,Standard Class,Corporate,United States,Los Angeles,California,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1,0,3.1104,No profit,0,6.48,48
KB-16315,Karl Braun,CA-2015-149587,31-Jan-15,05-Feb-15,Second Class,Consumer,United States,Minneapolis,Minnesota,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2,0,6.2208,No profit,0,6.48,48
KB-16315,Karl Braun,CA-2015-149587,31-Jan-15,05-Feb-15,Second Class,Consumer,United States,Minneapolis,Minnesota,Central,FUR-FU-10003799,Furniture,Furnishings,Seth Thomas 13 1-2" Wall Clock,53.34,3,0,16.5354,No profit,0,17.78,31
KB-16315,Karl Braun,CA-2015-149587,31-Jan-15,05-Feb-15,Second Class,Consumer,United States,Minneapolis,Minnesota,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0,16.1504,No profit,0,16.48,49
RB-19705,Roger Barcio,US-2017-109484,11-Jun-17,12-Nov-17,Standard Class,Home Office,United States,Portland,Oregon,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788,-541.1428571,3.9774,5.682,-66.66666667
PN-18775,Parhena Norris,CA-2017-161018,11-Sep-17,11-Nov-17,Second Class,Home Office,United States,New York City,New York,East,FUR-FU-10000629,Furniture,Furnishings,9-3-4 Diameter Round Wall Clock,96.53,7,0,40.5426,No profit,0,13.79,42
KD-16345,Katherine Ducich,CA-2017-157833,17-Jun-17,20-Jun-17,First Class,Consumer,United States,San Francisco,California,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592,8979.6,10.2624,17.104,35
ER-13855,Elpida Rittenbach,CA-2016-149223,09-Jun-16,11-Sep-16,Standard Class,Corporate,United States,Saint Paul,Minnesota,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home-Office Series Surge Protectors,77.88,6,0,22.5852,No profit,0,12.98,29
